ID_WEB;ID_JDN;CODEMAG;DATE_ASPI;URLPRODUIT
48400-48400;1321381;141;20170119;https://www.jardiland.com/maison-deco/art-de-la-table/conserves-et-bocaux/congelation/48400-sacs-sous-vide-gauffres-20-x-30-x-50-cm.html
5793-5793;970819;141;20170119;https://www.jardiland.com/maison-deco/art-de-la-table/conserves-et-bocaux/accessoires/5793-moulin-a-coulis.html
1270-1270;1274860;141;20170119;https://www.jardiland.com/maison-deco/art-de-la-table/linge-de-table/chemin-de-table/1270-chemin-de-table-champagne.html
2197-2197;1397387;141;20170119;https://www.jardiland.com/maison-deco/cache-pot-d-interieur/a-reserve-d-eau/autres-pots/2197-set-d-assemblage-cascadino.html
1909-1909;1327268;141;20170119;https://www.jardiland.com/maison-deco/objets-de-decoration/autres-objets-de-decoration/plateau-et-serviteur/1909-plateau-decoratif-felina-o-37-cm.html
3296-3296;1410314;141;20170119;https://www.jardiland.com/maison-deco/objets-de-decoration/autres-objets-de-decoration/plateau-et-serviteur/3296-etagere-a-gateau-felina-ha-48-cm.html
1405-1405;1296587;141;20170119;https://www.jardiland.com/maison-deco/objets-de-decoration/rangement-boites-et-paniers/coffret-et-boite-de-rangement/1405-boite-en-metal-apero.html
57957-57957;1456164;141;20170119;https://www.jardiland.com/maison-deco/objets-de-decoration/plantes-artificielles/tige-fleurie/57957-rameau-acrylique.html
3441-3441;1434251;141;20170119;https://www.jardiland.com/maison-deco/objets-de-decoration/plantes-artificielles/tige-fleurie/3441-herbe-graminee-boule-vert-artificielle.html
398-398;1218077;141;20170119;https://www.jardiland.com/maison-deco/objets-de-decoration/vases-coupes-et-accessoires/vase-et-coupe-en-verre/398-petite-cloche-en-verre-decorative-o-13-x-ho-19-cm.html
32918-55701;1320687;141;20170119;https://www.jardiland.com/maison-deco/objets-de-decoration/bougies-et-senteurs/parfum-d-ambiance-diffuseur-a-froid/32918-parfum-goatier-cocoon.html
58541-58541;1453827;141;20170119;https://www.jardiland.com/maison-deco/objets-de-decoration/bougeoirs-photophores-et-lanternes/bougeoir-et-photophore-deco/58541-photophore-gris-en-metal-10-10-20-cm.html
58416-58416;1455146;141;20170119;https://www.jardiland.com/maison-deco/objets-de-decoration/bougeoirs-photophores-et-lanternes/bougeoir-et-photophore-deco/58416-bougeoirs-en-metal.html
58092-58092;1291934;141;20170119;https://www.jardiland.com/maison-deco/objets-de-decoration/bougeoirs-photophores-et-lanternes/bougeoir-et-photophore-deco/58092-bougeoir.html
54385-54352;739270;141;20170119;https://www.jardiland.com/animaux/poisson/materiel-chauffage-filtres-et-pompes/masse-de-filtration/54385-dose-api-crystal-3-1.html
944-944;1252879;141;20170119;https://www.jardiland.com/animaux/poisson/decoration-pour-aquarium/decoration-d-aquarium/944-decor-roche-plantee-t2-1.html
32424-12380;1386365;141;20170119;https://www.jardiland.com/animaux/poisson/decoration-pour-aquarium/plante-artificielle/32424-decor-pour-aquarium-massif-colore.html
32422-12376;1386359;141;20170119;https://www.jardiland.com/animaux/poisson/decoration-pour-aquarium/plante-artificielle/32422-decor-pour-aquarium-herbe-sprengeri.html
53694-53694;1438147;141;20170119;https://www.jardiland.com/animaux/poisson/decoration-pour-aquarium/decoration-d-aquarium/53694-decor-pierre.html
53684-53684;1438163;141;20170119;https://www.jardiland.com/animaux/poisson/decoration-pour-aquarium/decoration-d-aquarium/53684-decor-navire-a-voile.html
53706-53706;1409105;141;20170119;https://www.jardiland.com/animaux/poisson/decoration-pour-aquarium/decoration-d-aquarium/53706-decor-bonsai.html
32378-9354;1295298;141;20170119;https://www.jardiland.com/animaux/poisson/aquariums/aquarium-decoratif/32378-aquarium-betta-life.html
40898-40898;1406759;141;20170119;https://www.jardiland.com/animaux/chat/alimentation-et-friandises/boite-et-sachet-fraicheur/40898-royal-canin-ultra-light-jelly-x12-1.html
32628-14030;1428406;141;20170119;https://www.jardiland.com/animaux/rongeurs-et-petits-mammiferes/habitats-cages-et-accessoires/cage/32628-cage-cochon-d-inde-et-lapin-bunny-home.html
53801-53801;1281798;141;20170119;https://www.jardiland.com/animaux/rongeurs-et-petits-mammiferes/habitats-cages-et-accessoires/cage/53801-cage-cavie-80-decor.html
